airline,airport,total_flights,min_arr_delay,max_arr_delay,avg_arr_delay,cancellation_rate_pct,active_months
9E,ABE,258,-43.0,438.0,-0.81,0.39,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,ABY,13,-25.0,30.0,-3.15,0.0,[ 1  2  3 11 12]
9E,AEX,219,-34.0,598.0,6.8,0.46,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,AGS,404,-36.0,526.0,4.96,2.48,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,ALB,269,-38.0,288.0,-4.63,1.86,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,ATL,6759,-40.0,829.0,2.03,1.3,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,ATW,51,-27.0,228.0,9.39,0.0,[ 1  4  5  6  7  8 10]
9E,AUS,93,-24.0,1225.0,19.2,1.08,[ 1  2  3  4  5  6  7 11]
9E,AVL,185,-35.0,171.0,-0.84,3.24,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,AZO,6,-22.0,71.0,4.0,0.0,[1]
9E,BDL,100,-30.0,111.0,-3.78,2.0,[1 2 3 4 5 6 7 8 9]
9E,BGM,93,-47.0,239.0,-0.93,5.38,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,BGR,332,-44.0,349.0,-1.99,4.52,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,BHM,257,-50.0,366.0,-3.13,1.56,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,BIS,2,-14.0,5.0,-4.5,0.0,[8]
9E,BMI,205,-36.0,318.0,1.08,1.46,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,BNA,304,-43.0,1214.0,16.21,3.95,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,BOS,2,-26.0,-26.0,-26.0,50.0,[1]
9E,BQK,29,-31.0,508.0,29.69,0.0,[ 3  4 11 12]
9E,BTR,130,-34.0,242.0,5.43,0.77,[ 1  2  3  5  6  7  8  9 10 11 12]
9E,BTV,467,-44.0,752.0,0.49,3.64,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,BUF,484,-38.0,524.0,-1.59,3.31,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,BWI,129,-38.0,494.0,17.21,9.3,[ 1  2  3  4  5  6  7  8  9 10]
9E,CAE,282,-37.0,316.0,3.51,1.77,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,CHA,360,-38.0,411.0,2.81,0.56,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,CHO,410,-40.0,1063.0,6.16,1.95,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,CHS,490,-46.0,364.0,5.57,4.29,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,CID,34,-24.0,129.0,3.65,0.0,[ 1  4  5  9 10 11]
9E,CLE,580,-40.0,724.0,3.42,2.07,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,CLT,801,-43.0,1027.0,9.13,3.12,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,CMH,67,-38.0,277.0,1.4,0.0,[ 1  3  4  5  6  8  9 10 11 12]
9E,CRW,37,-36.0,75.0,-4.78,0.0,[ 1  3  4  9 10 11]
9E,CSG,153,-35.0,205.0,3.07,2.61,[ 1  3  6  7  8  9 10 11 12]
9E,CVG,1655,-46.0,594.0,0.41,2.42,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,CWA,171,-35.0,260.0,-4.49,0.0,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,DAY,118,-32.0,334.0,-0.59,1.69,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,DCA,495,-40.0,860.0,9.05,2.22,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,DFW,2,127.0,133.0,130.0,0.0,[12]
9E,DHN,137,-41.0,342.0,6.67,0.0,[ 1  2  3  4  5  6  9 10 11 12]
9E,DLH,43,-24.0,241.0,14.51,0.0,[4 5 6 7 8 9]
9E,DSM,649,-39.0,486.0,2.01,1.54,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,DTW,3274,-40.0,699.0,-1.24,0.98,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,ECP,4,-22.0,41.0,5.25,0.0,[1]
9E,EVV,165,-36.0,162.0,-7.27,0.61,[ 1  2  3  6  7  8  9 10 11 12]
9E,EWR,401,-47.0,1094.0,18.31,3.99,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,EYW,35,-24.0,532.0,25.56,2.86,[ 1  2  3  4  5 12]
9E,FAR,62,-35.0,169.0,-0.1,0.0,[ 1  2  3  4  5  6  7  8  9 10 11]
