airport,airline,flight_count,avg_dep_delay,avg_arr_delay,cancellation_rate_pct,airport_avg_dep_delay,airport_total_flights,dep_delay_diff,rank_in_airport,anomaly_label
ABE,9E,258,7.44,-0.81,0.39,9.99,1055,-2.55,1,NELLA_NORMA
ABE,G4,442,8.14,1.24,1.81,9.99,1055,-1.85,2,NELLA_NORMA
ABE,OH,291,9.68,-2.08,1.03,9.99,1055,-0.31,3,NELLA_NORMA
ABE,OO,64,34.97,25.66,3.13,9.99,1055,24.98,4,ANOMALO_PEGGIORE
ABI,MQ,444,6.8,4.59,1.35,6.8,444,0.0,1,NELLA_NORMA
ABQ,DL,369,0.69,-7.59,1.08,10.3,5839,-9.61,1,NELLA_NORMA
ABQ,OO,1004,1.58,-2.4,0.2,10.3,5839,-8.72,2,NELLA_NORMA
ABQ,MQ,233,5.22,1.49,0.0,10.3,5839,-5.08,3,NELLA_NORMA
ABQ,UA,419,8.29,2.74,1.19,10.3,5839,-2.01,4,NELLA_NORMA
ABQ,AS,96,9.36,4.54,0.0,10.3,5839,-0.94,5,NELLA_NORMA
ABQ,NK,131,9.94,6.05,0.76,10.3,5839,-0.36,6,NELLA_NORMA
ABQ,WN,2762,10.97,4.82,0.54,10.3,5839,0.67,7,NELLA_NORMA
ABQ,AA,763,20.29,18.06,2.1,10.3,5839,9.99,8,NELLA_NORMA
ABQ,B6,62,92.73,88.56,0.0,10.3,5839,82.43,9,ANOMALO_PEGGIORE
ABR,OO,185,20.69,12.22,0.54,20.69,185,0.0,1,NELLA_NORMA
ABY,9E,13,-1.0,-3.15,0.0,23.14,196,-24.14,1,ANOMALO_MIGLIORE
ABY,OO,183,24.87,23.64,1.09,23.14,196,1.73,2,NELLA_NORMA
ACK,B6,237,10.93,8.62,1.27,13.63,404,-2.7,1,NELLA_NORMA
ACK,YX,145,15.13,15.91,6.21,13.63,404,1.5,2,NELLA_NORMA
ACK,OO,14,28.43,15.43,0.0,13.63,404,14.8,3,NELLA_NORMA
ACK,MQ,8,41.0,46.88,0.0,13.63,404,27.37,4,ANOMALO_PEGGIORE
ACT,MQ,73,11.11,11.06,2.74,14.13,261,-3.02,1,NELLA_NORMA
ACT,OO,188,15.29,15.62,1.6,14.13,261,1.16,2,NELLA_NORMA
ACV,OO,433,16.73,15.73,0.92,16.73,433,0.0,1,NELLA_NORMA
ACY,NK,783,9.03,1.98,1.28,9.03,783,0.0,1,NELLA_NORMA
ADK,AS,31,0.65,1.15,16.13,0.65,31,0.0,1,NELLA_NORMA
ADQ,AS,204,1.93,1.08,2.94,1.93,204,0.0,1,NELLA_NORMA
AEX,9E,219,11.61,6.8,0.46,18.92,503,-7.31,1,NELLA_NORMA
AEX,OO,273,24.61,19.85,2.2,18.92,503,5.69,2,NELLA_NORMA
AEX,MQ,11,25.64,29.09,0.0,18.92,503,6.72,3,NELLA_NORMA
AGS,MQ,55,5.51,-2.66,3.64,17.56,1016,-12.05,1,NELLA_NORMA
AGS,DL,38,6.08,2.21,0.0,17.56,1016,-11.48,2,NELLA_NORMA
AGS,YX,9,6.89,-3.44,0.0,17.56,1016,-10.67,3,NELLA_NORMA
AGS,9E,404,9.8,4.96,2.48,17.56,1016,-7.76,4,NELLA_NORMA
AGS,OH,400,24.48,23.67,2.75,17.56,1016,6.92,5,NELLA_NORMA
AGS,OO,104,30.62,25.4,1.92,17.56,1016,13.06,6,NELLA_NORMA
AGS,AA,6,52.0,44.5,0.0,17.56,1016,34.44,7,ANOMALO_PEGGIORE
AKN,AS,37,-1.16,2.24,0.0,-1.16,37,0.0,1,NELLA_NORMA
ALB,YX,87,-1.85,-7.72,1.15,13.29,3034,-15.14,1,ANOMALO_MIGLIORE
ALB,MQ,43,4.19,1.51,0.0,13.29,3034,-9.1,2,NELLA_NORMA
ALB,UA,189,7.89,1.88,0.53,13.29,3034,-5.4,3,NELLA_NORMA
ALB,9E,269,8.17,-4.63,1.86,13.29,3034,-5.12,4,NELLA_NORMA
ALB,OO,237,10.16,5.28,0.0,13.29,3034,-3.13,5,NELLA_NORMA
ALB,DL,358,12.01,2.23,1.4,13.29,3034,-1.28,6,NELLA_NORMA
ALB,WN,883,12.38,4.96,0.91,13.29,3034,-0.91,7,NELLA_NORMA
ALB,OH,299,18.02,14.75,2.34,13.29,3034,4.73,8,NELLA_NORMA
ALB,B6,185,19.31,12.17,2.16,13.29,3034,6.02,9,NELLA_NORMA
ALB,AA,338,19.6,14.08,0.59,13.29,3034,6.31,10,NELLA_NORMA
ALB,G4,146,23.23,12.86,0.0,13.29,3034,9.94,11,NELLA_NORMA
ALW,OO,139,-0.2,2.9,5.04,-0.2,139,0.0,1,NELLA_NORMA
AMA,WN,457,5.67,-0.8,0.44,9.12,1232,-3.45,1,NELLA_NORMA
AMA,MQ,511,8.02,6.06,1.96,9.12,1232,-1.1,2,NELLA_NORMA
AMA,OO,217,15.34,11.22,1.38,9.12,1232,6.22,3,NELLA_NORMA
AMA,AA,47,27.23,24.43,6.38,9.12,1232,18.11,4,ANOMALO_PEGGIORE
ANC,AS,3569,3.84,1.15,1.63,6.31,4658,-2.47,1,NELLA_NORMA
ANC,UA,338,11.79,0.88,2.66,6.31,4658,5.48,2,NELLA_NORMA
ANC,DL,628,13.39,3.49,0.64,6.31,4658,7.08,3,NELLA_NORMA
ANC,AA,123,26.32,11.91,0.0,6.31,4658,20.01,4,ANOMALO_PEGGIORE
APN,OO,160,19.83,13.92,4.38,19.83,160,0.0,1,NELLA_NORMA
ASE,OO,1964,27.39,21.96,5.8,27.39,1964,0.0,1,NELLA_NORMA
ATL,YX,315,4.66,2.46,3.49,11.13,85618,-6.47,1,NELLA_NORMA
ATL,9E,6759,6.14,2.03,1.3,11.13,85618,-4.99,2,NELLA_NORMA
ATL,DL,57264,9.33,5.54,0.89,11.13,85618,-1.8,3,NELLA_NORMA
ATL,AS,342,9.36,4.41,1.75,11.13,85618,-1.77,4,NELLA_NORMA
ATL,WN,8282,12.8,6.83,0.64,11.13,85618,1.67,5,NELLA_NORMA
ATL,UA,1786,14.52,9.35,1.79,11.13,85618,3.39,6,NELLA_NORMA
ATL,OH,615,17.23,13.48,1.14,11.13,85618,6.1,7,NELLA_NORMA
ATL,MQ,174,17.95,14.99,1.15,11.13,85618,6.82,8,NELLA_NORMA
ATL,OO,2020,20.13,16.52,0.94,11.13,85618,9.0,9,NELLA_NORMA
ATL,NK,2512,20.61,13.91,1.63,11.13,85618,9.48,10,NELLA_NORMA
ATL,B6,703,23.18,18.87,1.14,11.13,85618,12.05,11,NELLA_NORMA
ATL,AA,1938,23.32,18.86,1.81,11.13,85618,12.19,12,NELLA_NORMA
ATL,F9,2908,25.27,21.12,2.44,11.13,85618,14.14,13,NELLA_NORMA
ATW,DL,79,0.05,-8.64,1.27,15.41,1632,-15.36,1,ANOMALO_MIGLIORE
ATW,9E,51,11.29,9.39,0.0,15.41,1632,-4.12,2,NELLA_NORMA
ATW,G4,349,11.57,3.73,2.58,15.41,1632,-3.84,3,NELLA_NORMA
ATW,MQ,193,12.95,6.43,0.52,15.41,1632,-2.46,4,NELLA_NORMA
ATW,OO,960,18.8,14.91,2.08,15.41,1632,3.39,5,NELLA_NORMA
AUS,YX,38,-1.0,-9.29,0.0,14.63,21124,-15.63,1,ANOMALO_MIGLIORE
AUS,UA,2346,10.56,4.69,1.32,14.63,21124,-4.07,2,NELLA_NORMA
AUS,WN,9316,11.96,5.86,0.53,14.63,21124,-2.67,3,NELLA_NORMA
AUS,AS,740,12.63,10.71,2.16,14.63,21124,-2.0,4,NELLA_NORMA
AUS,OH,8,12.75,-0.63,0.0,14.63,21124,-1.88,5,NELLA_NORMA
AUS,MQ,530,14.34,11.59,1.32,14.63,21124,-0.29,6,NELLA_NORMA
AUS,DL,2829,15.45,7.89,0.88,14.63,21124,0.82,7,NELLA_NORMA
AUS,NK,263,17.19,11.37,1.9,14.63,21124,2.56,8,NELLA_NORMA
AUS,G4,260,18.41,15.72,2.31,14.63,21124,3.78,9,NELLA_NORMA
AUS,AA,3356,20.23,17.06,1.58,14.63,21124,5.6,10,NELLA_NORMA
AUS,9E,93,20.55,19.2,1.08,14.63,21124,5.92,11,NELLA_NORMA
AUS,OO,904,22.02,16.92,0.22,14.63,21124,7.39,12,NELLA_NORMA
AUS,HA,46,25.72,29.72,0.0,14.63,21124,11.09,13,NELLA_NORMA
AUS,B6,207,29.83,22.07,1.45,14.63,21124,15.2,14,ANOMALO_PEGGIORE
AUS,F9,188,31.95,27.38,2.66,14.63,21124,17.32,15,ANOMALO_PEGGIORE
AVL,9E,185,6.39,-0.84,3.24,15.06,2999,-8.67,1,NELLA_NORMA
AVL,YX,286,9.69,3.68,5.24,15.06,2999,-5.37,2,NELLA_NORMA
AVL,OH,485,9.93,10.36,3.71,15.06,2999,-5.13,3,NELLA_NORMA
AVL,DL,570,10.35,1.82,2.63,15.06,2999,-4.71,4,NELLA_NORMA
