airport,month,avg_arr_delay,avg_dep_delay,delay_band,flight_count,top3_causes
ABE,1,254.92,261.15,alto,13,"[('Carrier', 1164.0)]"
ABE,1,-13.53,-4.96,basso,143,"[('Carrier', 1164.0)]"
ABE,1,29.25,34.25,medio,12,"[('Carrier', 1164.0)]"
ABE,2,158.0,167.89,alto,9,"[('Carrier', 444.0)]"
ABE,2,-20.42,-6.74,basso,154,"[('Carrier', 444.0)]"
ABE,2,10.0,27.67,medio,9,"[('Carrier', 444.0)]"
ABE,3,155.79,166.86,alto,14,"[('Carrier', 953.0)]"
ABE,3,-19.39,-6.22,basso,178,"[('Carrier', 953.0)]"
ABE,3,23.81,31.63,medio,16,"[('Carrier', 953.0)]"
ABE,4,265.0,282.44,alto,9,"[('Carrier', 2122.0)]"
ABE,4,-17.94,-6.35,basso,139,"[('Carrier', 2122.0)]"
ABE,4,30.2,34.8,medio,15,"[('Carrier', 2122.0)]"
ABE,5,145.75,153.6,alto,20,"[('Carrier', 907.0)]"
ABE,5,-12.9,-7.35,basso,165,"[('Carrier', 907.0)]"
ABE,5,20.56,25.67,medio,9,"[('Carrier', 907.0)]"
ABE,6,176.52,186.52,alto,25,"[('Carrier', 2334.0)]"
ABE,6,-17.01,-7.36,basso,165,"[('Carrier', 2334.0)]"
ABE,6,16.3,24.65,medio,20,"[('Carrier', 2334.0)]"
ABE,7,144.75,146.8,alto,20,"[('Carrier', 1579.0)]"
ABE,7,-9.15,-6.34,basso,144,"[('Carrier', 1579.0)]"
ABE,7,29.18,33.23,medio,22,"[('Carrier', 1579.0)]"
ABE,8,139.36,142.29,alto,14,"[('Carrier', 388.0)]"
ABE,8,-13.54,-6.3,basso,151,"[('Carrier', 388.0)]"
ABE,8,18.69,26.75,medio,16,"[('Carrier', 388.0)]"
ABE,9,159.13,155.5,alto,8,"[('Carrier', 312.0)]"
ABE,9,-14.71,-5.98,basso,152,"[('Carrier', 312.0)]"
ABE,9,29.09,35.36,medio,11,"[('Carrier', 312.0)]"
ABE,10,216.88,223.5,alto,8,"[('Carrier', 1397.0)]"
ABE,10,-17.72,-6.37,basso,156,"[('Carrier', 1397.0)]"
ABE,10,13.79,28.79,medio,14,"[('Carrier', 1397.0)]"
ABE,11,106.86,119.14,alto,7,"[('Carrier', 174.0)]"
ABE,11,-15.72,-6.86,basso,148,"[('Carrier', 174.0)]"
ABE,11,20.88,34.88,medio,8,"[('Carrier', 174.0)]"
ABE,12,208.37,213.21,alto,19,"[('Carrier', 1709.0)]"
ABE,12,-13.55,-5.23,basso,140,"[('Carrier', 1709.0)]"
ABE,12,25.0,31.92,medio,13,"[('Carrier', 1709.0)]"
ABI,1,114.2,107.7,alto,10,"[('Carrier', 101.0)]"
ABI,1,-3.07,-6.26,basso,70,"[('Carrier', 101.0)]"
ABI,1,38.25,39.25,medio,8,"[('Carrier', 101.0)]"
ABI,2,88.0,99.0,alto,1,"[('Carrier', 91.0)]"
ABI,2,-6.36,-6.46,basso,70,"[('Carrier', 91.0)]"
